Genotype,Sex,ChrY_cov,,,,,geno_match_temp,Isolate_covFileName
8412_307,2,0.123419,,,,,8412_307,S.8412.307.R1.match.sdr.cov.txt
8415_245,0,0.123491,,,,,8415_245,S.8415.249.R1.match.sdr.cov.txt
8412_085,3,0.123531,,,,,8412_085,S.8412.085.R1.match.sdr.cov.txt
8415_032,0,0.123559,,,,,8415_032,S.8415.036.R1.match.sdr.cov.txt
8412_174,1,0.123566,,,,,8412_174,S.8412.174.R1.match.sdr.cov.txt
8415_050,2,0.123772,,,,,8415_05,S.8415.054.R1.match.sdr.cov.txt
8412_093,0,0.124216,,,,,8412_093,S.8412.093.R1.match.sdr.cov.txt
8415_299,0,0.124237,,,,,8415_299,S.8415.303.R1.match.sdr.cov.txt
8415_089,1,0.124521,,,,,8415_089,S.8415.093.R1.match.sdr.cov.txt
8415_036,0,0.124681,,,,,8415_036,S.8415.04.R1.match.sdr.cov.txt
8412_064,0,0.124832,,,,,8412_064,S.8412.064.R1.match.sdr.cov.txt
8412_437,2,0.125019,,,,,8412_437,S.8412.441.R1.match.sdr.cov.txt
8415_097,0,0.125049,,,,,8415_097,S.8415.101.R1.match.sdr.cov.txt
8415_006,2,0.125219,,,,,8415_006,S.8415.01.R1.match.sdr.cov.txt
8415_096,3,0.125486,,,,,8415_096,S.8415.1.R1.match.sdr.cov.txt
8415_195,0,0.125565,,,,,8415_195,S.8415.199.R1.match.sdr.cov.txt
8412_342,2,0.126361,,,,,8412_342,S.8412.346.R1.match.sdr.cov.txt
8412_278,0,0.126599,,,,,8412_278,S.8412.278.R1.match.sdr.cov.txt
8412_141,2,0.126729,,,,,8412_141,S.8412.141.R1.match.sdr.cov.txt
8415_177,2,0.126746,,,,,8415_177,S.8415.181.R1.match.sdr.cov.txt
8415_276,2,0.126754,,,,,8415_276,S.8415.28.R1.match.sdr.cov.txt
8232_01,0,0.126764,,,,,8232_01,S.8232.001.R1.match.sdr.cov.txt
8412_142,0,0.126929,,,,,8412_142,S.8412.142.R1.match.sdr.cov.txt
8415_143,0,0.127061,,,,,8415_143,S.8415.147.R1.match.sdr.cov.txt
8415_171,0,0.127184,,,,,8415_171,S.8415.175.R1.match.sdr.cov.txt
8415_047,0,0.12728,,,,,8415_047,S.8415.051.R1.match.sdr.cov.txt
8412_190,1,0.127291,,,,,8412_190,S.8412.19.R1.match.sdr.cov.txt
8415_337,1,0.127291,,,,,8415_337,S.8415.341.R1.match.sdr.cov.txt
8412_387,1,0.127392,,,,,8412_387,S.8412.391.R1.match.sdr.cov.txt
8415_434,0,0.127592,,,,,8415_434,S.8415.438.R1.match.sdr.cov.txt
8412_341,2,0.127602,,,,,8412_341,S.8412.345.R1.match.sdr.cov.txt
8412_081,4,0.127657,,,,,8412_081,S.8412.081.R1.match.sdr.cov.txt
8412_156,0,0.127717,,,,,8412_156,S.8412.156.R1.match.sdr.cov.txt
8415_039,1,0.127764,,,,,8415_039,S.8415.043.R1.match.sdr.cov.txt
8412_273,0,0.128001,,,,,8412_273,S.8412.273.R1.match.sdr.cov.txt
8415_215,2,0.128032,,,,,8415_215,S.8415.219.R1.match.sdr.cov.txt
8412_439,3,0.128097,,,,,8412_439,S.8412.443.R1.match.sdr.cov.txt
8412_157,2,0.128142,,,,,8412_157,S.8412.157.R1.match.sdr.cov.txt
